path,score,class,static_incoming,config_ref_count,evidence
backend/tests/__pycache__/test_e2e_llm.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/__pycache__/test_llm.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/conftest.py,75,SHARED/INFRA,0,1,runtime_root | config_refs=backend/pyproject.toml
backend/tests/test_api/__init__.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_api/__pycache__/__init__.cpython-312.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_api/__pycache__/test_ai_chat.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_api/__pycache__/test_clinical.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_api/__pycache__/test_contract.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_api/__pycache__/test_pharmacy_advice.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_api/__pycache__/test_pharmacy_favorites.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_api/__pycache__/test_rag.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_api/__pycache__/test_rules.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_api/test_ai_chat.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_api/test_clinical.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_api/test_contract.py,75,SHARED/INFRA,0,1,runtime_root | config_refs=.github/workflows/ci.yml
backend/tests/test_api/test_pharmacy_advice.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_api/test_pharmacy_favorites.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_api/test_rag.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_api/test_rules.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_e2e_llm.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_llm.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_schemas/__pycache__/test_validation_hardening.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_schemas/test_validation_hardening.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_services/__init__.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_services/__pycache__/__init__.cpython-312.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_services/__pycache__/test_ckd_rules.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_services/__pycache__/test_clinical_summary.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_services/__pycache__/test_document_loader.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_services/__pycache__/test_embedding.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_services/__pycache__/test_password_policy.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_services/__pycache__/test_safety_guardrail.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_services/__pycache__/test_text_chunker.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
